fdc_id,description,carbs_g,calories,protein_g,fat_g
325427,"Peaches, Raw, Pass 2, Region 1, n/a, Yes, Proximates - NFY010BR1",,,,0.38
325430,"Peaches, yellow, raw",10.1,108.0,0.91,0.27
325437,Sunflower seeds dry roasted salted,,,,58.3
325446,Sunflower seeds dry roasted salted,,,,53.5
325456,Sunflower seeds dry roasted salted,,,,58.3
325466,Sunflower seeds dry roasted salted,,,,54.3
325489,Sunflower seeds dry roasted salted,,,,55.3
325511,Sunflower seeds dry roasted salted,,,,56.9
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",17.1,1586.0,21.0,56.1
325531,"ITALIAN PORK SAUSAGE, STORE/OTHER, COOKED",,,,29.2
325539,"ITALIAN PORK SAUSAGE, STORE/OTHER, COOKED",,,,28.4
325547,"ITALIAN PORK SAUSAGE, STORE/OTHER, COOKED",,,,19.1
325555,"ITALIAN PORK SAUSAGE, KROGER, COOKED",,,,24.3
325558,"ITALIAN PORK SAUSAGE, KROGER, COOKED",,,,26.6
325565,"ITALIAN PORK SAUSAGE, STORE/OTHER, COOKED",,,,32.2
